"","X.2","X.1","X","id","resourceType","title","description","startDate","endDate","lat","lon","documentType","author","Evacuated","Homeless","Injuries","Deaths","Insured.Cost","Train.s..damaged","Train.s..destroyed","Home.s..damaged","Home.s..destroyed","Building.s..damaged","Building.s..destroyed","Ind.Premises.destroyed","Com.Premises.damaged","Com.Premises.destroyed","Bridge.s..damaged","Bridge.s..destroyed","Aircraft.damaged","Aircraft.destroyed","Motor.Vehicle.s..damaged","Motor.Vehicle.s..destroyed","Water.vessel.s..damaged","Water.vessel.s..destroyed","Business.es..damaged","Business.es..destroyed","Farm.s..damaged","Farm.s..destroyed","Crop.s..destroyed","Livestock.destroyed","Government.assistance","regions","subjects","url","resourceUrl","Disasterlength","buildingdestroyedordamaged","Vehiclesdamagedordestroyed"
"11",11,11,31,32,"Disaster Event","Storm/Flood","On 23 June 1998, severe storms with gale force winds affected the Northern tablelands and Hunter Valley regions of Sydney, causing damage to properties and infrastructure. Fallen power lines created a power outage for over 7000 homes and demand for power reached record levels on the night of 23 June.  The State Emergency Service reported that across the State more than 2000 requests for assistance had been received; almost 1800 of which were received from the Hunter Valley. The worst affected areas were Lake Macquarie, Maitland, Newcastle and Port Stephens.  One woman drowned in flooded waters at Crookwell.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $39 million.&lt;","6/23/1998 0:00","6/24/1998 0:00",-32.7326355,151.5579376,NA,"",0,0,0,1,1.2e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=32",NA,1,0,0
"12",12,12,34,35,"Disaster Event","Storm/Flood","On 25 January 1937 a severe storm developed near Castle Hill and moved south-east causing damage in the areas of Ryde, Rydalmere, Homebush, Concord, Strathfield, Burwood, Marrickville, Mascot and Botany Bay. Four people died and many were injured as a result of this storm.","1/25/1937 0:00","1/25/1937 0:00",-33.8731575,151.2069397,NA,"",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=35",NA,0,0,0
"13",13,13,35,36,"Disaster Event","Bushfire","On 19 January 1997, temperatures soared above 40 &deg;C and northerly winds were gusting at 70 km per hour contributing to two damaging bushfires near Melbourne. The fires in Mt Eliza burnt two homes and evacuations were required at Mt Martha, Arthur's Seat and the Mornington Peninsula. Approximately 250 bushfires burnt areas of Victoria on 21 January, a 41.2 &deg;C day. The worst affected areas were Ferny Creek, Upwey and Kalorama in the Dandenong Ranges where it took 1,500 firefighters and six water-bombing aircraft to control the 3,700 ha forest blaze. In addition to the two houses at Mt Eliza, 41 houses were destroyed and 45 damaged in the Dandenongs. Three people died (at Ferny Creek) and approximately 40 were injured throughout the State.  The Insurance Council of Australia estimated the 1997 damage at $10 million, with the 2011 estimated normalised cost of $29 million.","1/19/1997 0:00","1/21/1997 0:00",-37.88122559,145.3422699,NA,"",800,0,40,3,2.9e+07,0,0,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=36",NA,2,88,0
"14",14,14,40,41,"Disaster Event","Cyclone/Tornado","Tropical Cyclone Winifred registered as a category three cyclone and recorded wind gusts up to 175 km per hour, near Cowley Beach south of Innisfail. Damage and disruption extended from north of Cairns to Cardwell and inland on a narrow front to Ravenshoe. The areas that suffered flooding were between Babinda and Tully.  The tide gauge at Clump Point recorded a storm surge of 1.6 m, wave run-up on beaches was approximately 2 m above the astronomical tide. Significant 24 hour rainfalls during the period were Topaz 304 mm, Ravenshoe 373 mm, Tully 212 mm, lnnisfail 221 mm and Babinda 251 mm. There were three deaths.  The Insurance Council of Australia estimated the 1986 damage at $40 million, with the 2011 estimated normalised cost of $205 million.","1/27/1986 0:00","2/05/1986 0:00",-17.69570732,146.1140442,NA,"",0,0,0,3,4e+07,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=41",NA,9,1500,12
"15",15,15,41,42,"Disaster Event","Cyclone/Tornado","On 4 March 1899 a category five cyclone hit Bathurst Bay with winds reaching 260 km per hour. A tsunami of 14.6 m swept inland for 5 km.  A wave surge measuring 13 m at Ninian Bay adjacent to Barrow Point 30 km south of Bathurst Bay extended inland for 3-5 km. The pearling fleet was damaged with 400 people losing their lives.","04/03/1899 00:00:00","10/03/1899 00:00:00",-14.1152668,144.3383789,NA,"",0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=42",NA,183,0,55
"16",16,16,45,46,"Disaster Event","Cyclone/Tornado","Tropical Cyclone Glenda moved south 500 km east of Brisbane, resulting in large waves that eroded Gold Coast beaches. Waves up to 16 m off the South Queensland coast were reported. Six people died in two separate boating incidents.","4/02/1967 0:00","4/04/1967 0:00",-27.7224369,157.7197266,NA,"",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=46",NA,2,0,0
"17",17,17,47,48,"Disaster Event","Storm/Flood","In February 1978 severe storms affected Sydney, Newcastle and Wollongong. Wind gusts reached 141 km per hour at Newcastle, causing extensive damage to buildings and the loss of power to many homes. In total eight people were injured as a result of this storm. A tornado accompanied a thunderstorm in the Drummoyne and Hunters Hill areas of Sydney.  The Insurance Council of Australia estimated the 1978 damage at $15 million, with the 2011 estimated normalised cost of $215 million.","2/10/1978 0:00","2/11/1978 0:00",-32.92599487,151.7788696,NA,"",0,0,8,0,1.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=48",NA,1,0,0
"18",18,18,49,50,"Disaster Event","Storm/Flood","On 18 April 1990 after several weeks of heavy rain over Queensland, a strong upper level low dumped upwards of 150 mm of rain with exceptional totals to 350 mm across large areas of central Queensland over a three day period. Already saturated catchments were inundated and major flooding quickly developed on the Warrego and Maranoa Rivers and many other inland systems. The towns of Jericho and Augathella were flooded and a section of the Longreach railway was washed away.  On the morning of 21 April, the Warrego River was rising rapidly. Later the same day the river peaked at over 8.5 m which was 1.5 m above the previous record. Levee banks protecting the town were ineffective and floodwaters spread through the town, necessitating the entire population of 3500 to be evacuated to the airport. Many residents climbed to their rooftops and had to be rescued by helicopter.  The low then moved south-east and torrential rains were experienced across large areas of New South Wales west of the Divide. There was major flooding on the Lachlan, Macquarie and Castlereagh Rivers, among others. The Bogan river flooded into Nyngan. Despite the residents' ttempts to raise the levee banks by sand bagging, the levees could not withstand the flood and on the 23 April, as the river surged to 5.2 m, nearly one metre higher than the previous record, most of the town was inundated. The population of 2500 was evacuated to Dubbo, 160 km away.  The low then moved towards Victoria and produced torrential rains over Gippsland on 20 and 21 April with up to 350 mm recorded over the two day period. Major flooding occurred on the Thomson, Avon and Mitchell Rivers. Hectares of vegetable crops were destroyed by flood waters and highways cut. People were evacuated from low-lying areas. It total 150 homes were flooded.  Property losses from the three-state flood were considerable.Towns and houses flooded, infrastructure was destroyed or damaged, thousands of sheep and cattle drowned and thousands of hectares of ruined crops.  The floods claimed six lives.  The Insurance Council of Australia estimated the 1990 damage at $30 million with the 2011 estimated normalised cost of $99 million.","4/21/1990 0:00","4/30/1990 0:00",-31.54109001,147.1975708,NA,"",0,5000,0,6,3e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales;Victoria;Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=50",NA,9,0,0
"19",19,19,57,58,"Disaster Event","Earthquake","On 28 December 1989 at 10.27 am, an earthquake measuring 5.6 on the Richter scale hit Newcastle. The&nbsp;earthquake's epicentre was approximately 15 km from Newcastle's central business district.  The earthquake caused widespread damage to infrastructure including roads, bridges and power lines. It also caused damage to 50,000 buildings, including 40,000 homes. As a result 13 individuals lost their lives and 160 sustained various injuries.  In February 1990, Cyclone Nancy dumped a large amount of rain on Newcastle, which increased the rate of movement in some structures and prompted the discovery of leaks in buildings that had previously been considered structurally sound after the earthquake.  The Insurance Council of Australia estimated the 1989 damage at $862 million, with the 2011 estimated normalised cost of $3240 million.","12/28/1989 0:00","12/29/1989 0:00",-32.92592239,151.7787018,NA,"",0,0,160,13,8.62e+08,0,0,40000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=58",NA,1,90000,0
"20",20,20,58,59,"Disaster Event","Storm/Flood","On 5 January 1998 at 3.15pm, a severe storm with hail and strong winds struck the western New South Wales town of Nyngan. Damage to property included four houses destroyed and 77 houses sustaining significant damage. Public buildings, schools and shops were also damaged. There was widespread damage to infrastructure including electricity lines, water and sewage. One person was injured.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $27 million.","1/05/1998 0:00","1/05/1998 0:00",-31.53523827,147.1920776,NA,"",0,0,1,0,1.2e+07,0,0,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=59",NA,0,81,0
"21",21,21,59,60,"Disaster Event","Drought/Heatwave","In the summer of 1909 - 1910 it is estimated that 109 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.","12/09/1909 0:00","2/10/1910 0:00",-33.87330246,151.2070618,NA,"",0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland;New South Wales;Tasmania;Australian Capital Territory;Northern Territory;South Australia;Western Australia;Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=60",NA,63,0,0
"22",22,22,60,61,"Disaster Event","Cyclone/Tornado","On 5 March 1887, a cyclone hit Burketown on the Gulf of Carpentaria. It arrived at approximately 11 am in the form of strong storm winds from the south-east. The storm continued for 12 hours; it destroyed almost the entire township and caused the death of seven from a population of just 138. The telegraph line was completely destroyed. A storm surge accompanied the cyclone, arriving at 7 pm and flooding the town.  There were great losses of stock, horses and goats.","05/03/1887 00:00:00","05/03/1887 00:00:00",-17.73102951,139.54216,NA,"",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=61",NA,0,0,0
"23",23,23,62,63,"Disaster Event","Bushfire","Starting in late December 1993 and continuing through into January 1994, New South Wales experienced an extended period of extreme fire weather. It occurred north of Sydney to the Queensland boarder and south of Sydney as far as Bateman's Bay. A total of 800,000 ha was destroyed by approximately 800 different fire related incidents. There was a large response effort issued by Governments and the New South Wales community. Volunteers combined with military personal were utilized for property protection, support activities and relief assistance.  The Insurance Council of Australia estimated the 1993/1994 damage at $59 million, with the 2011 estimated normalised cost of $215 million.","12/27/1993 0:00","1/16/1994 0:00",-29.58524513,152.7775879,NA,"",0,0,0,4,5.9e+07,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=63",NA,20,206,0
"24",24,24,65,66,"Disaster Event","Storm/Flood","On 24 April 1974, severe flash flooding caused heavy damage in Sydney's western suburbs and the Blue Mountains. During&nbsp;this period approximately 200 mm of rain fell.  One person died as a result of the flooding.  The Insurance Council of Australia estimated the 1974 damage at $20 million, with the 2011 normalised cost of $509 million.","4/24/1974 0:00","4/24/1974 0:00",-33.75153351,150.6912231,NA,"",0,0,0,1,2e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=66",NA,0,0,0
"25",25,25,66,67,"Disaster Event","Storm/Flood","Central, northern and coastal towns throughout Queensland were subject to multiple tropical cyclones, resulting in heavy rain causing widespread flooding. Towns affected include Townsville, Rockhampton, Mt Morgan, Cairns, Coolangatta, Byron Bay, Mossman and Herbert.  There was widespread damage to infrastructure. Buildings, homes and farms were badly damaged in south-east Queensland, and there were heavy losses to crops and livestock. One hundred people were evacuated at Lismore due to flood levels.","2/20/1929 0:00","2/28/1929 0:00",-23.37712288,150.5100708,NA,"",100,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=67",NA,8,0,0
"26",26,26,67,68,"Disaster Event","Bushfire","Fires in the Dandenong Ranges and on the outskirts of Melbourne caused eight fatalities and destroyed over 450 houses. Areas severely affected include The Basin, Christmas Hills, Kinglake, St Andrews, Hurstbridge, Warrandyte and Mitcham. The bushfires came within 20 km of the city of Melbourne and were considered the worst fires since 1939.","1/14/1962 0:00","2/16/1962 0:00",-37.85620117,145.3159332,NA,"",0,2500,0,8,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=68",NA,33,454,0
"27",27,27,68,69,"Disaster Event","Storm/Flood","On 16 November 1989, a hail storm hit Ballarat resulting in damage to houses and cars.  The Insurance Council of Australia estimated&nbsp;the 1989 damage at $20 million, with the 2011 estimated normalised cost of $81 million.","11/16/1989 0:00","11/16/1989 0:00",-37.56158829,143.8562317,NA,"",0,0,0,0,2e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=69",NA,0,0,0
